make_model,details,year_hand,price,link,km,color,current_ownership,previous_ownership,horsepower,engine_capacity,fuel_efficiency,published_date
קיה פיקנטו,LX אוט׳ 1.2 (85 כ״ס) [2015-2017],2016 • יד 2,"33,500 ₪",https://www.yad2.co.il/vehicles/item/emchxbed,101000,לבן,פרטית,פרטית,85,1248,17.86,‍26/03/25
קיה פיקנטו,LX אוט׳ 1.2 (85 כ״ס) [2015-2017],2015 • יד 2,"32,000 ₪",https://www.yad2.co.il/vehicles/item/rn4bl5wx,101000,אפור מטאלי,פרטית,פרטית,85,1248,17.86,‍27/03/25
קיה פיקנטו,Top אוט׳ 1.2 (85 כ״ס),2017 • יד 2,"44,000 ₪",https://www.yad2.co.il/vehicles/item/fk1gjfcl,75000,לבן,פרטית,פרטית,85,1248,17.86,‍20/03/25
קיה פיקנטו,Top אוט׳ 1.2 (85 כ״ס),2017 • יד 2,"44,000 ₪",https://www.yad2.co.il/vehicles/item/n5vus1rb,59000,אפור מטאלי,פרטית,פרטית,85,1248,17.86,‍23/03/25
קיה פורטה,LX אוט׳ 1.6 (130 כ״ס) [2009-2018],2015 • יד 2,"35,000 ₪",https://www.yad2.co.il/vehicles/item/5wbr5xti,110000,לבן,פרטית,חברה,130,1591,,‍18/03/25
קיה פיקנטו,EX אוט׳ 1.2 (85 כ״ס) [2015-2016],2015 • יד 1,"39,000 ₪",https://www.yad2.co.il/vehicles/item/qtr62sfb,96000,שחור,פרטית,,85,1248,17.86,‍24/03/25
יונדאי i10,Inspire אוט׳ 1.2 (87 כ״ס) [2018-2021],2018 • יד 1,"42,000 ₪",https://www.yad2.co.il/vehicles/item/mxho61eu,97000,אפור,פרטית,,87,1248,16.13,‍20/03/25
קיה פיקנטו,Top אוט׳ 1.2 (85 כ״ס),2016 • יד 2,"35,500 ₪",https://www.yad2.co.il/vehicles/item/spr3q363,93000,ורוד,פרטית,פרטית,85,1248,17.86,‍11/03/25
קיה פיקנטו,EX אוט׳ 1.2 (85 כ״ס) [2015-2016],2015 • יד 2,"2,000 ₪",https://www.yad2.co.il/vehicles/item/id5226u3,102664,לבן,פרטית,פרטית,85,1248,17.86,‍16/02/25
קיה פיקנטו,Sport אוט׳ 1.2 (85 כ״ס),2015 • יד 2,"36,700 ₪",https://www.yad2.co.il/vehicles/item/03ge9rob,110000,לבן,פרטית,פרטית,85,1248,18.87,‍28/02/25
יונדאי i10,Supreme אוט׳ 1.2 (87 כ״ס),2016 • יד 1,"42,000 ₪",https://www.yad2.co.il/vehicles/item/d3qjvpmw,94000,אפור מטאלי,פרטית,,87,1248,16.13,‍22/02/25
קיה ספורטז',Urban אוט׳ 1.6 (133 כ״ס),2015 • יד 2,"44,000 ₪",https://www.yad2.co.il/vehicles/item/j00m1mtu,102000,לבן,פרטית,ליסינג,133,1591,14.71,‍24/02/25
קיה פיקנטו,LX אוט׳ 1.2 (85 כ״ס) [2011-2015],2015 • יד 2,"36,400 ₪",https://www.yad2.co.il/vehicles/item/771mf394,91200,לבן,פרטית,פרטית,85,1248,18.87,‍24/02/25
קיה פיקנטו,Top אוט׳ 1.2 (85 כ״ס),2016 • יד 1,"36,200 ₪",https://www.yad2.co.il/vehicles/item/fzuvznld,97000,שחור,פרטית,,85,1248,17.86,‍20/02/25
